
Number of requests,Medium response time,Error percentage,Throughput
66000,796.042385ms,0,672.6082574304675
Type,Requests per second,Duration,
rest,10000,3s,
rest,12000,3s,
Response time,Success,Error,End time
216.692465ms,true,-,May  8 14:26:12.249463318
111.905023ms,true,-,May  8 14:26:12.249708175
112.347907ms,true,-,May  8 14:26:12.249723159
11.384501ms,true,-,May  8 14:26:12.249807103
188.868343ms,true,-,May  8 14:26:12.249930639
102.739712ms,true,-,May  8 14:26:12.249992229
293.567137ms,true,-,May  8 14:26:12.250175412
302.059476ms,true,-,May  8 14:26:12.250178429
104.911737ms,true,-,May  8 14:26:12.250423690
102.440504ms,true,-,May  8 14:26:12.250493918
13.400408ms,true,-,May  8 14:26:12.250561178
217.636419ms,true,-,May  8 14:26:12.250561257
115.885043ms,true,-,May  8 14:26:12.250735885
117.724625ms,true,-,May  8 14:26:12.251092873
113.489081ms,true,-,May  8 14:26:12.251231797
219.42407ms,true,-,May  8 14:26:12.251294750
193.034137ms,true,-,May  8 14:26:12.251312203
13.550802ms,true,-,May  8 14:26:12.251318406
5.05305ms,true,-,May  8 14:26:12.251353754
213.889856ms,true,-,May  8 14:26:12.251405991
5.895369ms,true,-,May  8 14:26:12.251467695
188.946068ms,true,-,May  8 14:26:12.251490133
300.061321ms,true,-,May  8 14:26:12.251522268
297.612429ms,true,-,May  8 14:26:12.251591951
13.292081ms,true,-,May  8 14:26:12.251598552
117.369224ms,true,-,May  8 14:26:12.252197370
120.092288ms,true,-,May  8 14:26:12.252380318
8.281994ms,true,-,May  8 14:26:12.253588773
9.207589ms,true,-,May  8 14:26:12.254455826
9.669453ms,true,-,May  8 14:26:12.255196860
9.949721ms,true,-,May  8 14:26:12.255305640
10.256353ms,true,-,May  8 14:26:12.255860841
10.234537ms,true,-,May  8 14:26:12.256093677
12.624471ms,true,-,May  8 14:26:12.258463643
13.101496ms,true,-,May  8 14:26:12.258799906
12.598285ms,true,-,May  8 14:26:12.258799958
378.806495ms,true,-,May  8 14:26:12.333634389
383.769091ms,true,-,May  8 14:26:12.333664936
377.088676ms,true,-,May  8 14:26:12.333681426
187.901151ms,true,-,May  8 14:26:12.333824371
94.458272ms,true,-,May  8 14:26:12.334059168
198.405627ms,true,-,May  8 14:26:12.335114369
88.811679ms,true,-,May  8 14:26:12.335199108
94.079372ms,true,-,May  8 14:26:12.335316801
272.888944ms,true,-,May  8 14:26:12.335323254
276.077335ms,true,-,May  8 14:26:12.335323408
98.17106ms,true,-,May  8 14:26:12.335326233
94.266001ms,true,-,May  8 14:26:12.335356052
293.892079ms,true,-,May  8 14:26:12.335390739
100.788369ms,true,-,May  8 14:26:12.335420836
95.688628ms,true,-,May  8 14:26:12.335425101
190.942116ms,true,-,May  8 14:26:12.335425473
200.989169ms,true,-,May  8 14:26:12.338443994
279.84599ms,true,-,May  8 14:26:12.339228560
302.024534ms,true,-,May  8 14:26:12.339730005
277.4677ms,true,-,May  8 14:26:12.340860794
99.87006ms,true,-,May  8 14:26:12.340883921
281.774008ms,true,-,May  8 14:26:12.340977524
389.647557ms,true,-,May  8 14:26:12.341050893
107.247424ms,true,-,May  8 14:26:12.341143226
